시간,데이터유형,옵션코드,옵션체결시간,옵션현재가,옵션누적거래량,옵션체결수량,옵션이론가,옵션IV,옵션델타,옵션감마,옵션세타,옵션베가,옵션로,옵션미결제약정,옵션매도호가1,옵션매도잔량1,옵션매도호가2,옵션매도잔량2,옵션매도호가3,옵션매도잔량3,옵션매도호가4,옵션매도잔량4,옵션매도호가5,옵션매도잔량5,옵션매수호가1,옵션매수잔량1,옵션매수호가2,옵션매수잔량2,옵션매수호가3,옵션매수잔량3,옵션매수호가4,옵션매수잔량4,옵션매수호가5,옵션매수잔량5,옵션총매도잔량,옵션총매수잔량,지수코드,지수체결시간,지수현재가,지수전일대비,지수등락률,지수거래량,지수시가,1초체결량,체결방향,매수주도체결량,매도주도체결량
2026-03-26 11:49:45,스냅샷,B0164830,,,65,,22.82,42.1528,0.4990,0.6420,1.0451,0.1309,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114944,810.69,28.01,3.34,5,829.60,0,NONE,0,0
2026-03-26 11:49:46,스냅샷,B0164830,,,65,,22.81,42.1429,0.4990,0.6420,1.0450,0.1308,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114945,810.67,28.03,3.34,8,829.60,0,NONE,0,0
2026-03-26 11:49:47,스냅샷,B0164830,,,65,,22.88,42.2177,0.4991,0.6423,1.0456,0.1311,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114946,810.82,27.88,3.32,4,829.60,0,NONE,0,0
2026-03-26 11:49:48,스냅샷,B0164830,,,65,,22.75,42.0680,0.4989,0.6416,1.0444,0.1306,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114947,810.52,28.18,3.36,1,829.60,0,NONE,0,0
2026-03-26 11:49:49,스냅샷,B0164830,,,65,,22.88,42.2177,0.4991,0.6423,1.0456,0.1311,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114948,810.82,27.88,3.32,5,829.60,0,NONE,0,0
2026-03-26 11:49:50,스냅샷,B0164830,,,65,,22.81,42.1379,0.4990,0.6419,1.0450,0.1308,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114949,810.66,28.04,3.34,1,829.60,0,NONE,0,0
2026-03-26 11:49:51,스냅샷,B0164830,,,65,,22.80,42.1329,0.4990,0.6419,1.0449,0.1308,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114950,810.65,28.05,3.34,3,829.60,0,NONE,0,0
2026-03-26 11:49:52,스냅샷,B0164830,,,65,,22.88,42.2177,0.4991,0.6423,1.0456,0.1311,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114951,810.82,27.88,3.32,1,829.60,0,NONE,0,0
2026-03-26 11:49:53,스냅샷,B0164830,,,65,,22.79,42.1179,0.4989,0.6418,1.0448,0.1307,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114952,810.62,28.08,3.35,1,829.60,0,NONE,0,0
2026-03-26 11:49:54,스냅샷,B0164830,,,65,,22.85,42.1878,0.4990,0.6422,1.0454,0.1310,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114953,810.76,27.94,3.33,3,829.60,0,NONE,0,0
2026-03-26 11:49:55,스냅샷,B0164830,,,65,,22.86,42.1928,0.4990,0.6422,1.0454,0.1310,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114954,810.77,27.93,3.33,1,829.60,0,NONE,0,0
2026-03-26 11:49:56,스냅샷,B0164830,,,65,,22.87,42.2077,0.4991,0.6423,1.0455,0.1310,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114955,810.80,27.90,3.33,3,829.60,0,NONE,0,0
2026-03-26 11:49:57,스냅샷,B0164830,,,65,,22.87,42.2127,0.4991,0.6423,1.0456,0.1311,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114956,810.81,27.89,3.33,1,829.60,0,NONE,0,0
2026-03-26 11:49:58,스냅샷,B0164830,,,65,,22.86,42.1928,0.4990,0.6422,1.0454,0.1310,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114957,810.77,27.93,3.33,1,829.60,0,NONE,0,0
2026-03-26 11:49:59,스냅샷,B0164830,,,65,,22.73,42.0431,0.4988,0.6415,1.0442,0.1305,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114958,810.47,28.23,3.37,2,829.60,0,NONE,0,0
2026-03-26 11:50:00,스냅샷,B0164830,,,65,,22.87,42.2077,0.4991,0.6423,1.0455,0.1310,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,114959,810.80,27.90,3.33,3,829.60,0,NONE,0,0
2026-03-26 11:50:01,스냅샷,B0164830,,,65,,22.87,42.2127,0.4991,0.6423,1.0456,0.1311,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,115000,810.81,27.89,3.33,2,829.60,0,NONE,0,0
2026-03-26 11:50:02,스냅샷,B0164830,,,65,,22.83,42.1678,0.4990,0.6421,1.0452,0.1309,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,115001,810.72,27.98,3.34,2,829.60,0,NONE,0,0
2026-03-26 11:50:03,스냅샷,B0164830,,,65,,22.80,42.1329,0.4990,0.6419,1.0449,0.1308,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,115002,810.65,28.05,3.34,3,829.60,0,NONE,0,0
2026-03-26 11:50:04,스냅샷,B0164830,,,65,,22.85,42.1878,0.4990,0.6422,1.0454,0.1310,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,115003,810.76,27.94,3.33,1,829.60,0,NONE,0,0
2026-03-26 11:50:05,스냅샷,B0164830,,,65,,22.87,42.2077,0.4991,0.6423,1.0455,0.1310,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,115004,810.80,27.90,3.33,2,829.60,0,NONE,0,0
2026-03-26 11:50:06,스냅샷,B0164830,,,65,,22.80,42.1329,0.4990,0.6419,1.0449,0.1308,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,115005,810.65,28.05,3.34,2,829.60,0,NONE,0,0
2026-03-26 11:50:07,스냅샷,B0164830,,,65,,22.82,42.1479,0.4990,0.6420,1.0450,0.1308,,1426,27.85,5,27.90,1,28.60,1,29.45,1,29.95,2,24.55,5,24.50,1,24.10,1,23.50,1,21.00,1,64,27,201,115006,810.68,28.02,3.34,1,829.60,0,NONE,0,0
